UniProtKB/Swiss-Prot ID	Gene name	Gene stable ID
P0CL35		YML133W-B
P0CL36		YML133W-B
Q08995		YPR204W
P36775	PIM1	YBL022C
P32354	MCM10	YIL150C
P30656	PRE2	YPR103W
P53285	VPS62	YGR141W
P40446		YIL165C
Q05497		YDR338C
P35727	BLI1	YKL061W
P50275	ASE1	YOR058C
Q12374	NCA2	YPR155C
P87274		YDR526C
P47112	TAH11	YJR046W
P40057		YER084W
P32563	VPH1	YOR270C
P38831		YHR125W
P53069		YGL239C
Q04432	HSP31	YDR533C
Q12512	ZPS1	YOL154W
Q99394	TRS33	YOR115C
Q05584	GLO2	YDR272W
Q06554	IRC20	YLR247C
P40099	FAU1	YER183C
Q03957	CTK1	YKL139W
Q12006	PFA4	YOL003C
P53935	NST1	YNL091W
P21827	SRM1	YGL097W
P53218	POP6	YGR030C
P53897	IGO1	YNL157W
P14905	CBS2	YDR197W
A0A023PZF2		YEL009C-A
P32453	ATP11	YNL315C
Q04406	EMI1	YDR512C
Q08702	HNT3	YOR258W
P0C5S0		YPL250W-A
Q03406	SLD5	YDR489W
Q05676	SOM1	YEL059C-A
P30606	ITR2	YOL103W
P05759	RPS31	YLR167W
P47818	CCC1	YLR220W
Q06188	PDP3	YLR455W
P47068	BBC1	YJL020C
O13542		YLR282C
P05740	RPL17A	YKL180W
Q12032	AIM41	YOR215C
Q06631	BFR2	YDR299W
P36107	AUR1	YKL004W
Q99190	TSC13	YDL015C
P35176	CPR5	YDR304C
P41812	POP1	YNL221C
P38889	SKN7	YHR206W
Q04501		YML090W
P87282		YDR271C
Q12039	HMI1	YOL095C
Q12520	HUT1	YPL244C
P39719	FLC2	YAL053W
P01097	INH1	YDL181W
P50080	AZR1	YGR224W
P38809		YHR097C
Q12418	GIS3	YLR094C
P17119	KAR3	YPR141C
P53286	BTN2	YGR142W
Q04201	CUE4	YML101C
P43540		YFL064C
Q08226	CRT10	YOL063C
P39008	POP2	YNR052C
P25638	TAH1	YCR060W
P41895	TFG1	YGR186W
P40991	NOP2	YNL061W
Q08238		YOL079W
Q06346	KEI1	YDR367W
P32639	BRR2	YER172C
P87108	TIM10	YHR005C-A
P25642	IMG2	YCR071C
Q08912		YOR389W
P03878	AI4	Q0065
P53299	TIM13	YGR181W
Q06156	YCS4	YLR272C
P34078	LTV1	YKL143W
P36520	MRPL10	YNL284C
Q3E732		YLR264C-A
P33304	AFR1	YDR085C
P40187	PIG2	YIL045W
Q03690	CLU1	YMR012W
P32944	SWE1	YJL187C
P25354		YCR007C
P32490	MKK1	YOR231W
A0A023PYH5		YHR193C-A
P32906	MNS1	YJR131W
Q12377	RPN6	YDL097C
P10614	ERG11	YHR007C
P0CX93		YHR214C-D
P0CX92		YHR214C-D
P32597	STH1	YIL126W
P53156		YGL081W
P32352	ERG2	YMR202W
Q12314	SFM1	YOR021C
P35180	TOM20	YGR082W
Q08532		YOR139C
Q06451	TPO3	YPR156C
P07246	ADH3	YMR083W
A0A023PZ94		YAL031W-A
P02829	HSP82	YPL240C
P53736		YNR040W
Q06580	MLC2	YPR188C
P43578		YFL015C
P0CX90		YHR212W-A
P0CX91		YHR212W-A
P53189	SCW11	YGL028C
Q12334	SCM3	YDL139C
P10566	MRS3	YJL133W
P33749	MSN4	YKL062W
P43581	HXT10	YFL011W
P00812	CAR1	YPL111W
P38871	SSP1	YHR184W
P14065	GCY1	YOR120W
P24869	CLB2	YPR119W
P53853	VPS75	YNL246W
P43598	IGD1	YFR017C
O94084	OPI9	YLR338W
Q8J0M4		YCL012C
P47028		YJL086C
P07286	ALG7	YBR243C
P43633	ALK1	YGL021W
Q03944	VPS64	YDR200C
P38328	ARC40	YBR234C
P47113	BFA1	YJR053W
P53688	HST4	YDR191W
Q04116	YHP1	YDR451C
P53137	CUE3	YGL110C
P47111	VPS55	YJR044C
P17891	CLC1	YGR167W
P16639	ATE1	YGL017W
Q06263	VTA1	YLR181C
P38297	FZO1	YBR179C
P38333	ENP1	YBR247C
P40303	PRE6	YOL038W
Q12433	AHC1	YOR023C
P47140	AIM25	YJR100C
Q12463	TRM11	YOL124C
P18851	STE4	YOR212W
Q03323	SDC1	YDR469W
Q04359	SPO20	YMR017W
Q03327	UGO1	YDR470C
P40451	AIM20	YIL158W
P38269		YBR124W
A0A023PZK9		YLR458W
P09733	TUB1	YML085C
P0C272		YOL013W-A
Q08931	PRM3	YPL192C
Q8TGL8		YNL097W-A
P38177		YBL086C
Q12116	TMS1	YDR105C
P39927	PTI1	YGR156W
P27809	KRE2	YDR483W
P36049	EBP2	YKL172W
Q04228	UBX2	YML013W
P0CX49	RPL18A	YOL120C
P0CX50	RPL18A	YOL120C
P40060	IES5	YER092W
P53340		YGR291C
Q12446	LAS17	YOR181W
Q07549	SNA4	YDL123W
P46950	SNG1	YGR197C
P38188		YBL065W
P40574	YAP5	YIR018W
Q02784	GRX5	YPL059W
P20606	SAR1	YPL218W
P38323	MCX1	YBR227C
P47087		YJR012C
Q12407		YDL199C
P40583	YPS6	YIR039C
P32829	MRE11	YMR224C
P53226	BUD9	YGR041W
P36018	YPT52	YKR014C
P53158	KXD1	YGL079W
P10659	SAM1	YLR180W
P31380	FUN30	YAL019W
P07213	TOM70	YNL121C
P32327	PYC2	YBR218C
P39931	SSP120	YLR250W
Q8TGQ0		YCR081C-A
P24309	DBR1	YKL149C
P38143	GPX2	YBR244W
P09624	LPD1	YFL018C
P0C5P7		YLR222C-A
Q08789		YOR333C
P07866	LTE1	YAL024C
P00856	ATP8	Q0080
P53140	RMD9	YGL107C
Q04675	SEN15	YMR059W
P50896	PSP1	YDR505C
O75012	MRP10	YDL045W-A
P45820	HUR1	YGL168W
Q02486	ABF2	YMR072W
P38913	FAD1	YDL045C
Q08980		YPL264C
P00546	CDC28	YBR160W
P50101	UBP15	YMR304W
Q04516	AIM33	YML087C
Q04329	ICY1	YMR195W
Q99219		YIL082W
	ALA1	YOR335C
Q06338	BCP1	YDR361C
P40522	VHR1	YIL056W
Q8TGP3		YEL008C-A
P33893	PET112	YBL080C
P40449		YIL161W
P18412	TEC1	YBR083W
P38359	SUL1	YBR294W
P47118	YAE1	YJR067C
P24279	MCM3	YEL032W
P22035	BAS1	YKR099W
P43566		YFL032W
P34253	KTI12	YKL110C
Q12213	RPL7B	YPL198W
P53957		YNL043C
P53389	HOL1	YNR055C
P47174		YJR146W
Q12200	NCR1	YPL006W
P38836	ECM14	YHR132C
P23293	SGV1	YPR161C
P28321	YJU3	YKL094W
Q8TGN1		YJR140W-A
P35844	KES1	YPL145C
Q02554	CUS1	YMR240C
P0CH09	RPL40B	YKR094C
P0CH08	RPL40B	YKR094C
P0C5M2		YDR406W-A
Q06411	SPP382	YLR424W
P53075	SHE10	YGL228W
P46678	BDP1	YNL039W
P32337	PSE1	YMR308C
P23250	RPI1	YIL119C
P22289	QCR9	YGR183C
Q08216		YOL046C
P53177	TYW3	YGL050W
P32830	TIM12	YBR091C
A0A023PXB9		YDR199W
P53329		YGR273C
P40548	SNL1	YIL016W
P32939	YPT7	YML001W
Q05580	HEL2	YDR266C
P41930	SSU1	YPL092W
P53252	PIL1	YGR086C
P53308		YGR228W
P47164	STR2	YJR130C
P36143	GLG1	YKR058W
P40000		YEL010W
Q3E765		YKL183C-A
Q06567	MCP2	YLR253W
Q07746		YDL242W
P41920	YRB1	YDR002W
P33891	TIP20	YGL145W
Q12449	AHA1	YDR214W
P38150		YBR284W
P32623	UTR2	YEL040W
Q03898	FIN1	YDR130C
P53732	MRPS12	YNR036C
P39982	HHY1	YEL059W
Q08187		YOL029C
P03882	SCEI	Q0160
Q12027		YDL176W
P40460		YIL144W
Q03018	ESP1	YGR098C
Q3E7Y8		YOL155W-A
P15303	SEC23	YPR181C
Q02260	SMD1	YGR074W
P38285	AMN1	YBR158W
Q06336	GGA1	YDR358W
Q03057		YDR544C
O13547	CCW14	YLR390W-A
P53146	USE1	YGL098W
Q03290	TFB3	YDR460W
P48559	YPT11	YNL304W
Q08486		YOR072W
Q08322	PAU20	YOL161C
Q6WNK7	SUS1	YBR111W-A
P47119	HAM1	YJR069C
P40064	NUP157	YER105C
A0A023PZI9		YHR182C-A
Q03750	TAF8	YML114C
P38185		YBL071C
P47157		YJR120W
P40541	IRR1	YIL026C
P46982	MNN5	YJL186W
Q9ZZX1	AI5_ALPHA	Q0070
P47079	CCT8	YJL008C
P53923	NCS2	YNL119W
Q6Q5X2		YDR034W-B
P25332	RBK1	YCR036W
P53963		YNL034W
P17423	THR1	YHR025W
P40368	NUP82	YJL061W
P40988	FET4	YMR319C
P38925	SMF1	YOL122C
P17214	EST1	YLR233C
P54199	MPS1	YDL028C
P53873	SWT21	YNL187W
Q02197	MAK10	YEL053C
P25337	BUD31	YCR063W
Q08687	TMA16	YOR252W
P39731	MTW1	YAL034W-A
P37303	GLY1	YEL046C
P25043	PUP1	YOR157C
P42844	ZIM17	YNL310C
P53147	TOS8	YGL096W
Q3E786		YGR240C-A
P25572		YCL042W
A0A023PXH5		YBR126W-B
Q12298		YDR061W
P40083		YER137C
Q12176	MAK21	YDR060W
P47131		YJR085C
P0CX80	CUP1-2	YHR055C
P0CX81	CUP1-2	YHR055C
Q8TGM2		YLR347W-A
Q06604	BSP1	YPR171W
P38713	OSH3	YHR073W
P40851	AXL1	YPR122W
P53039	YIP1	YGR172C
P37020	GEF1	YJR040W
P38138	ROT2	YBR229C
Q3E789		YDR169C-A
Q06340	ESC2	YDR363W
P23500	MRS4	YKR052C
P41921	GLR1	YPL091W
P32454	APE2	YKL157W
Q03016	GIP3	YPL137C
P32578	SIP1	YDR422C
Q12239		YOL107W
Q04602	VBA4	YDR119W
P24384	PRP22	YER013W
Q3E7Z6		YHL015W-A
Q12309	CLF1	YLR117C
P04650	RPL39	YJL189W
P07884	MOD5	YOR274W
P08465	MET2	YNL277W
O13512		YAL064W-B
Q03834	MSH6	YDR097C
P40448		YIL163C
P31379	LDS1	YAL018C
P38226	CST26	YBR042C
Q3E826		YKL068W-A
P36145	TFA2	YKR062W
P53540	SPC98	YNL126W
P33324		YKL091C
Q870I1		YOL013W-B
P36153		YKR073C
P47107		YJR039W
Q9ZZW4		Q0142
P42826	XKS1	YGR194C
P12683	HMG1	YML075C
P38788	SSZ1	YHR064C
Q04779	RCO1	YMR075W
P36163	OMA1	YKR087C
P38114	TBS1	YBR150C
A0A023PXD5		YER147C-A
Q12484		YOR343C
Q03205		YDR042C
P00931	TRP5	YGL026C
P16523	MER1	YNL210W
P32378	COQ2	YNR041C
P39103	COX14	YML129C
Q02793	SKI8	YGL213C
P38730		YHL041W
Q12127	CCW12	YLR110C
Q12275	CMR2	YOR093C
P00420	COX3	Q0275
P22434	PDE1	YGL248W
P53870		YNL193W
P0CX49	RPL18B	YNL301C
P0CX50	RPL18B	YNL301C
P39517	DHH1	YDL160C
P53159	MPS2	YGL075C
Q02606	CIP1	YPL014W
P38844	DSE2	YHR143W
P10127	ADH4	YGL256W
Q04053	SNX41	YDR425W
Q3E804		YOR381W-A
P38156	MAL31	YBR298C
P32629	ANP1	YEL036C
P12385	SUP45	YBR143C
Q02326	RPL6A	YML073C
Q02795	SWP1	YMR149W
P53845	YIF1	YNL263C
Q3E741		YAL037C-A
P38927	REV7	YIL139C
Q08001	LAM6	YLR072W
Q08227	INP54	YOL065C
P53946	ARP5	YNL059C
Q99252	ECM3	YOR092W
Q05024	TRI1	YMR233W
P39081	PCF11	YDR228C
P25340	ERG4	YGL012W
Q12083	MLH3	YPL164C
Q12254	SVS1	YPL163C
P25039	MEF1	YLR069C
P0CL32		YHR052W-A
P0CL33		YHR052W-A
P32432	SFP1	YLR403W
P53967		YNL028W
P22276	RET1	YOR207C
P36087		YKL070W
Q12074	SPE3	YPR069C
Q3E7B4		YPL038W-A
P39532		YJL202C
Q06676		YDR319C
P47078		YJL009W
P0C2H7	RPL27B	YDR471W
Q07914	PAM18	YLR008C
P53633	YIP3	YNL044W
P25451	PUP3	YER094C
P38068	GRX7	YBR014C
P38966	VTC5	YDR089W
Q04659	CSM3	YMR048W
P53155		YGL082W
Q05979	BNA5	YLR231C
Q08844		YOR365C
Q03713	RCF1	YML030W
P38338		YBR259W
P27351	APL1	YJR005W
Q04487	SHH3	YMR118C
P38902	RPB11	YOL005C
P38967	TAT2	YOL020W
P40026	KRE29	YER038C
P36132	KAE1	YKR038C
P25293	NAP1	YKR048C
P0C0X0	RPS28B	YLR264W
P32844	SEC6	YIL068C
Q12514	NOT5	YPR072W
P46962	CTK2	YJL006C
P43497	CWP2	YKL096W-A
Q96VG6		YCR097W-A
P53289	RTS3	YGR161C
P40515	FIS1	YIL065C
P32833	ORC2	YBR060C
P14724	CDC26	YFR036W
P34241	URB1	YKL014C
Q08223	AIM39	YOL053W
Q05611	BSC2	YDR275W
P47178	DAN1	YJR150C
Q12425	ISA2	YPR067W
P25352		YCR025C
P32363	SPT14	YPL175W
P40491	FMC1	YIL098C
Q06236	SHH4	YLR164W
P38724	ARN2	YHL047C
P40461		YIL141W
Q3E815		YHR175W-A
P38634	SIC1	YLR079W
P25334	CPR4	YCR069W
Q12348	RRI2	YOL117W
P38756	TCD1	YHR003C
Q08032	CDC45	YLR103C
P37265		YCR041W
Q03125	NRG1	YDR043C
P35181	APS1	YLR170C
P53969	SAM50	YNL026W
Q05958	ECM22	YLR228C
Q02895		YPL088W
P51401	RPL9B	YNL067W
P43590		YFR006W
P32523	PRP19	YLL036C
P47139		YJR098C
P42950	GSM1	YJL103C
P0CL39		YLR467C-A
P0CL40		YLR467C-A
P0CL38		YLR467C-A
P32599	SAC6	YDR129C
P39002	FAA3	YIL009W
P47002	SSY5	YJL156C
P38125	DTR1	YBR180W
P38198	STU1	YBL034C
Q03913	VPS61	YDR136C
P36161	NUP133	YKR082W
P32190	GUT1	YHL032C
P38850	RTT107	YHR154W
P40162		YNL205C
P06208	LEU4	YNL104C
P21954	IDP1	YDL066W
P32480	HIR2	YOR038C
P46677	TAF1	YGR274C
P32831	NGR1	YBR212W
P07258	CPA1	YOR303W
Q06636	GPI11	YDR302W
Q3E739		YIR021W-A
Q12212	SIA1	YOR137C
Q96VG5		YCR102W-A
O13530		YLR198C
Q08204	SMC5	YOL034W
Q08422		YOR052C
O13513		YAL056C-A
Q03780		YDR239C
Q03034	FDC1	YDR539W
P38243		YBR071W
Q04344	HNT1	YDL125C
Q02932	KAP120	YPL125W
P0CX37	RPS6A	YPL090C
P0CX38	RPS6A	YPL090C
P30283	CLB5	YPR120C
Q06686	CTR3	YLR411W
P38912	TIF11	YMR260C
P32357	AAR2	YBL074C
P38162	MIX23	YBL107C
P22219	VPS15	YBR097W
Q03429	MZM1	YDR493W
P33335	SGE1	YPR198W
P32353	ERG3	YLR056W
P46983	ATG36	YJL185C
P32603	SPR1	YOR190W
Q03888		YIR020C-B
Q8TGN9	NAG1	YGR031C-A
Q06440	CRN1	YLR429W
Q6B0X1		YMR135W-A
P39006	PSD1	YNL169C
P38111	MEC1	YBR136W
P32487	LYP1	YNL268W
Q6Q5F3		YPR053C
P36138		YKR045C
Q9ZZX9		Q0010
P47012		YJL135W
Q06098	ISR1	YPR106W
Q03862	ARX1	YDR101C
Q3E7A7		YKL018C-A
Q3E796		YDR182W-A
P23301	HYP2	YEL034W
P38766	RRM3	YHR031C
P12688	YPK1	YKL126W
Q12390	GTT2	YLL060C
P12612	TCP1	YDR212W
P0CX27	RPL42A	YNL162W
P0CX28	RPL42A	YNL162W
P39944	UBP5	YER144C
P53184	PNC1	YGL037C
P38077	ATP3	YBR039W
Q03362		YDR476C
P40529	AGE2	YIL044C
P36024	SIS2	YKR072C
Q12048	ATG41	YPL250C
P38176	AVT5	YBL089W
P23059	MAK31	YCR020C-A
Q12122	LYS21	YDL131W
Q02804	ARL3	YPL051W
Q01217	ARG5,6	YER069W
P39722	GEM1	YAL048C
Q03281	HEH2	YDR458C
P47170	IML1	YJR138W
P42946	PRM10	YJL108C
Q12145	CMR3	YPR013C
Q8TGM9		YKR075W-A
	HPA3	YEL066W
P05319	RPP2A	YOL039W
P32896	PDC2	YDR081C
P32489	MEI5	YPL121C
P38717	SIP3	YNL257C
P38187	UBP13	YBL067C
P36084	MUD2	YKL074C
P04821	CDC25	YLR310C
Q12214	HOS1	YPR068C
P23202	URE2	YNL229C
P40987	CIN1	YOR349W
P38346	BIT2	YBR270C
P32608	RTG2	YGL252C
P50094	IMD4	YML056C
P38251	RFC5	YBR087W
Q00873	CYT2	YKL087C
P25847	MSH2	YOL090W
Q12029	FSF1	YOR271C
Q07438		YDL071C
Q12123	DCS2	YOR173W
P43601	ATG18	YFR021W
P53060	RMR1	YGL250W
P0C5S1		YPR160W-A
Q08993		YPR202W
Q03886		YIR020W-A
P38987	TEM1	YML064C
P53322	TNA1	YGR260W
P33311	MDL2	YPL270W
P40564	DJP1	YIR004W
P38631	FKS1	YLR342W
P47105		YJR037W
P27476	NSR1	YGR159C
P40316	PDS1	YDR113C
	GRS1	YBR121C
P06101	CDC37	YDR168W
P10962	MAK16	YAL025C
P40497		YIL092W
P33411	PRP18	YGR006W
Q12241	VAM3	YOR106W
P39563		YAR064W
Q04411	URC2	YDR520C
P0CX13	COS3	YML132W
P0CX12	COS3	YML132W
P04386	GAL4	YPL248C
P38071	ETR1	YBR026C
Q12166	LEU9	YOR108W
P36104	SWD2	YKL018W
Q06644	PMT7	YDR307W
P06843	SPT2	YER161C
P53130	GPG1	YGL121C
Q07938	MEU1	YLR017W
P47126		YJR079W
P38306		YBR197C
P05373	HEM2	YGL040C
P13483	DAT1	YML113W
P36000	APL2	YKL135C
P21373	UTR1	YJR049C
P39732	GIP4	YAL031C
P39939	RPS26B	YER131W
P53278		YGR130C
P14164	ABF1	YKL112W
P38220		YBR027C
P38729		YHL042W
Q3E7Z2		YNL042W-B
Q08448		YOR059C
P16547	OM45	YIL136W
Q04739	GAL83	YER027C
P38295	EHT1	YBR177C
O42831		YAR075W
Q8TGT6		YHR022C-A
Q6Q5K6	HUG1	YML058W-A
Q05568	PEX10	YDR265W
P15367	SEC11	YIR022W
P0C5N5		YHR180C-B
Q12517	DCP1	YOL149W
P03881		Q0255
Q3E7Z5		YIL002W-A
P32331	YMC1	YPR058W
Q07458	RXT3	YDL076C
P35182	PTC1	YDL006W
P38122	ECM31	YBR176W
Q12230	LSP1	YPL004C
Q01080	RPA49	YNL248C
P53212		YGR021W
P22354	MRPL20	YKR085C
P19414	ACO1	YLR304C
P47085	MHO1	YJR008W
P36170	FLO10	YKR102W
Q08521		YOR121C
P07703	RPC40	YPR110C
P36035	JEN1	YKL217W
Q08241		YOL106W
P07390	PET494	YNR045W
P47094		YJR023C
P40209	GAT2	YMR136W
A0A023PXF8		YIL066W-A
Q02773	RPM2	YML091C
Q3E791		YAL063C-A
Q3E762		YBR230W-A
P53741	BRE5	YNR051C
A0A023PXD3		YER088C-A
P48361	ASK10	YGR097W
P0CD90	AQY2	YLL052C
P20437	CLN1	YMR199W
Q08747	UAF30	YOR295W
P26784	RPL16A	YIL133C
Q07505		YDL086W
P45819	SPO74	YGL170C
P38816	TRR2	YHR106W
P25336	MSH3	YCR092C
Q08621		YOR203W
P38873	KOG1	YHR186C
P41810	SEC26	YDR238C
P20084	MRPL33	YMR286W
P43564	MIL1	YFL034W
P15315	CUP2	YGL166W
P36137	UIP5	YKR044W
P53142	VPS73	YGL104C
P38738	OCA5	YHL029C
Q01589	SED1	YDR077W
Q3E6R5		YDR381C-A
P38776	YHK8	YHR048W
P47083	MPP10	YJR002W
P48236	GPC1	YGR149W
P0CX35	RPS4A	YJR145C
P0CX36	RPS4A	YJR145C
P38253		YBR090C
P40472	SIM1	YIL123W
P48836	VMA10	YHR039C-A
Q02046	MTD1	YKR080W
P53872		YNL190W
P32913	VPS17	YOR132W
Q12234	RUD3	YOR216C
Q8TGU8		YBL071C-B
P0C5N7		YHR073W-A
P39073	SSN3	YPL042C
P40169		YNL194C
Q2V2P2		YKL065W-A
Q12207	NCE102	YPR149W
P38240		YBR064W
P40561	SGN1	YIR001C
Q12264		YDL023C
P00044	CYC1	YJR048W
P0CX51	RPS16B	YDL083C
P0CX52	RPS16B	YDL083C
P38769	NEL1	YHR035W
P27810	KTR1	YOR099W
P21592	COX10	YPL172C
Q12286	SUT2	YPR009W
P28817	EHD3	YDR036C
Q12149	RRP6	YOR001W
Q8TGN0		YKL156C-A
P23542	AAT2	YLR027C
Q99220	YOS9	YDR057W
P08679	CIT2	YCR005C
P38228	TCM62	YBR044C
P32791	FRE1	YLR214W
Q04368	CSI1	YMR025W
Q96VG8		YCR038W-A
	MED11	YMR112C
P46948	SKI6	YGR195W
P40007	NOP16	YER002W
P31382	PMT2	YAL023C
Q03080		YPL039W
P17695	GRX2	YDR513W
P40454	RRD1	YIL153W
Q03503	MAK3	YPR051W
P25369	LSB5	YCL034W
P36149	BET3	YKR068C
P39708	GDH3	YAL062W
Q99258	RIB3	YDR487C
Q03124	RSC9	YML127W
P53938	EOS1	YNL080C
Q96VH4	HBN1	YCL026C-B
Q12378	RTR2	YDR066C
P08593	MSS18	YPR134W
P40562	MPH1	YIR002C
P36122	BCH2	YKR027W
P38063	PRS4	YBL068W
P53717		YNR005C
Q12525	MHT1	YLL062C
Q04235	TRM12	YML005W
P53316	RIE1	YGR250C
P32915	SEC61	YLR378C
P00358	TDH2	YJR009C
P0CL26		YJL222W-A
P0CL25		YJL222W-A
